Branch,Percentage_10th,Percentage_12th,Career_Goal,Course Type,Skills,Category,Title
CS,85,75,cybersecurity analyst,Course,confidence intervalpython programmingstatistical inferencestatistical hypothesis testing,Data Science,Inferential Statistical Analysis with Python
ECE,85,85,vlsi engineer,Specialization,prostate cancer anatomy of metastasis cancer treatment metastasis theories cancer biology cancer biology cancer genetics molecular biology cancer stem cells,Health,Cancer Biology Specialization
CS,85,85,software engineer,Course,data warehousingmicrostrategydata warehousesql,Data Science,Design and Build a Data Warehouse for Business Intelligence Implementation
ECE,85,85,embedded systems engineer,Course,lean six sigmaprocess improvementprocess capabilitysix sigma,Business,Six Sigma and the Organization (Advanced)
CSIT,85,75,software engineer,Course,data analysistableau softwaredata visualization datavizpresentation,Data Science,Share Data Through the Art of Visualization
CSIT,85,95,devops engineer,Course,statisticslinear regressionr programmingregression analysis,Data Science,Linear Regression and Modeling 
CS,85,75,machine learning engineer,Specialization,data science artificial intelligence ai business cloud computing technology cloud native devops iaas paas saas hybrid multicloud deep learning jobs machine learning,Business,Key Technologies for Business Specialization
ME,75,75,design engineer,Course,estimation interviewdata analysis interviewstrategy interviewbehavioral interviewproduct design interview,Computer Science,Acing the Product Management Interview
CSIT,85,85,web developer,Professional Certificate,android studioapplication developmentmobile developmentlinuxweb developmentbash unix shellgithubversion controlcreate arrayskotlin playgroundcreate control flow patterns using conditionals and loopspractice using and extending protocolsdeclare and initialize different types of variablesweb designfrontend web developmentuser experience uxaccessibilityuse ui component libraries to build android uicreate a simple android uicompose ui using kotlin ui viewsbuild a simple ui using the layout editorworking with sqliterest apisdata and databases create simple javascript code create and manipulate objects and arrays write unit testing using jestweb applicationreact web frameworkreact javascript libraryreactkotlinux and uipseudocodealgorithmscommunicationdata structurecomputer science,Computer Science,Meta Android Developer Professional Certificate
CSIT,75,85,devops engineer,Course,r and rstudiodata cleansing and explorationalteryxanalytic mindsetpowerbi,Data Science,Tools for Exploratory Data Analysis in Business
CS,85,95,software engineer,Specialization,bioinformatics statistics data science computational biology biopython python programming genomics bioinformatics algorithms algorithms algorithms on strings samtools unix,Data Science,Genomic Data Science Specialization
CSIT,85,95,data scientist,Course,data sciencemachine learningdatabricks,Data Science,Applied Data Science for Data Analysts
CS,85,95,data scientist,Course,data sciencedata analysissqlitesql,Data Science,SQL for Data Science
CSIT,85,95,web developer,Course,web designhtmljavascriptcascading style sheets css,Computer Science,Web Design for Everybody Capstone
CS,85,75,machine learning engineer,Course,python programmingmachine learning conceptsmachine learningdeep learning,Data Science,Machine Learning Foundations: A Case Study Approach
CSIT,85,95,data scientist,Specialization,pentaho data visualization dataviz data warehouse sql database db design entityrelationship er model database dbms extraction transformation and loading etl data integration data warehousing materialized view business intelligence,Data Science,Data Warehousing for Business Intelligence Specialization
CSME,85,85,automation engineer,Course,dynamic programmingdebuggingsoftware testingalgorithmscomputer programming,Computer Science,Algorithmic Toolbox
ECE,85,85,iot developer,Course,database dbmspython programmingweb scrapingmysqlsql,Data Science,Scripting with Python and SQL for Data Engineering
CSIT,85,85,web developer,Course,htmljavascriptcss frameworkscascading style sheets css,Computer Science,"HTML, CSS, and Javascript for Web Developers"
MCA,65,50,data analyst,Specialization,storyboarding map tableau software data visualization dataviz data virtualization visualization computer graphics data analysis visual analytics interactive visualization,Data Science,Data Visualization with Tableau Specialization
CSIT,85,95,data scientist,Specialization,geographic information system gis satellite imagery analysis model building spatial visualization spatial analysis data analysis data visualization dataviz software analytics workflow data management,Data Science,Geographic Information Systems  (GIS) Specialization
ECE,85,95,signal processing engineer,Course,data sciencemachine learningr programmingnatural language processing,Data Science,Data Science Capstone
CS,85,95,data scientist,Specialization,data analysis microsoft excel data visualization dataviz presentation datainformed decisionmaking big data pivot table data cleansing dashboard business data virtualization communication presentation design,Business,Data Analysis and Presentation Skills: the PwC Approach Specialization
IT,85,85,web developer,Specialization,punctuation essay writing academic writing writing english grammar grammar creative writing,Social Sciences,Academic English: Writing Specialization
ECE,85,85,iot developer,Course,selfcarepalliative carecommunicationpsychosocial supportgoals of careacp,Health,Essentials of Palliative Care
ECE,85,85,embedded systems engineer,Course,dashboard businessfinancial modelingmicrosoft exceldata cleansing,Business,Excel Skills for Business: Advanced
CSIT,85,85,devops engineer,Course,predictive analyticscustomer analyticsregression analysismarketing performance measurement and management,Business,Customer Analytics
ECE,85,75,signal processing engineer,Specialization,copyright music production contracts pro tools music recording music business revenue streams teambuilding audio production music songwriting create music legally,Arts and Humanities,The Business of Music Production Specialization
ECE,85,85,vlsi engineer,Course,microsoft projectcostmanagementproject planning,Business,Programación y presupuesto del proyecto
CSIT,85,85,data scientist,Specialization,data analysis data visualization dataviz mathematical optimization sql data model data quality regression analysis data cleansing predictive modelling exploratory data analysis simulation business analytics,Business,Advanced Business Analytics Specialization
IT,75,75,data analyst,Course,data scienceethicsalgorithmsprivacyphilosophy,Data Science,Ethical Issues in Data Science
CSIT,85,85,data scientist,Course,data analysistableau softwaredata visualization datavizpresentation,Data Science,Share Data Through the Art of Visualization
ECE,75,95,signal processing engineer,Course,data sciencemachine learningr programmingnatural language processing,Data Science,Data Science Capstone
ECE,85,95,iot developer,Professional Certificate,visualização de dados datavizlimpeza de dadosplanilhasqlanálise dos dadosanálise de dadosquestionamentosolução de problemastomada de decisõesmetadadosética em dadoscoleta de dadosintegridade dos dadosdeterminação do tamanho da amostracálculos de dadosagregação de dadosapresentaçãosoftware tableauprogramação em rr markdownrstudioestudo de casoportfólio profissional,Data Science,Google Data Analytics (PT) Professional Certificate
CSME,85,75,automation engineer,Course,artificial intelligence aimachine learningreinforcement learningfunction approximationintelligent systems,Data Science,Fundamentals of Reinforcement Learning
CS,85,85,data scientist,Specialization,shiny dashboards data analysis and modelling r programmin language data visualization dataviz sql rdbms data science r programming select sql relational databases rdbms data analysis statistical analysis linear regression,Data Science,Applied Data Science with R Specialization
CSIT,85,85,devops engineer,Specialization,information engineering python programming extraction transformation and loading etl relational database management system rdbms sql data science database dbms nosql data analysis pandas numpy jupyter notebooks,Information Technology,Data Engineering Foundations Specialization
CSME,85,75,automation engineer,Specialization,uipath studio automation workflow rpa data manipulation list dictionary input actions automation selectors recording in studio user interface automation,Computer Science,Robotic Process Automation (RPA) Specialization
IT,85,85,software engineer,Course,statistical data bias detectionmulticlass classification with fasttext and blazingtextdata ingestionexploratory data analysisautomated machine learning automl,Data Science,Analyze Datasets and Train ML Models using AutoML
CS,75,85,data scientist,Course,data sciencer programmingdata visualization datavizlinear regressionexploratory data analysis,Data Science,Data Science with R - Capstone Project
CS,85,95,data scientist,Specialization,data science machine learning github r programming exploratory data analysis rstudio data analysis debugging data manipulation regular expression regex data cleansing cluster analysis,Data Science,Data Science: Foundations using R Specialization
CSIT,85,85,devops engineer,Specialization,pharmacy healthcare organization operations public health and wellness healthcare organization operations medical healthcare organization operations healthcare administration dental healthcare organization operations,Health,Healthcare Organization Operations Specialization
CS,85,85,ai engineer,Specialization,data science artificial intelligence ai machine learning predictive analytics modeling artificial neural network project management privacy design thinking ethics,Data Science,AI Product Management Specialization
CSME,85,75,ai in manufacturing,Course,tensorflow servingmodel monitoringmodel registriesmachine learning operations mlopsgenerate data protection regulation gdpr,Data Science,Deploying Machine Learning Models in Production
ME,75,75,design engineer,Specialization,software architecture java software design pattern objectoriented programming oop objectoriented design objectoriented analysis and design unified modeling language uml web service microservices representational state transfer rest serviceoriented architecture,Computer Science,Software Design and Architecture Specialization
MCA,85,65,data analyst,Specialization,storyboarding map tableau software data visualization dataviz data virtualization visualization computer graphics data analysis visual analytics interactive visualization,Data Science,Data Visualization with Tableau Specialization
MCA,75,65,software developer,Specialization,storyboarding map tableau software data visualization dataviz data virtualization visualization computer graphics data analysis visual analytics interactive visualization,Data Science,Data Visualization with Tableau Specialization
EN,85,85,power systems engineer,Course,forecastingmicrosoft excelplanningdemand forecasting,Business,Supply Chain Planning
IT,85,85,software engineer,Specialization,algorithm design python programming data structure design analysis of algorithms hashtables graphs algorithms intractability,Computer Science,Data Science Foundations: Data Structures and Algorithms Specialization
CS,85,85,software engineer,Specialization,text mining python programming pandas matplotlib numpy data cleansing data virtualization data visualization dataviz machine learning ml algorithms machine learning scikitlearn natural language toolkit nltk,Data Science,Applied Data Science with Python Specialization
CS,85,95,data scientist,Specialization,data science data management data analysis communication leadership machine learning project team building management team management interpretation exploratory data analysis,Data Science,Executive Data Science Specialization
CS,85,95,data scientist,Course,data sciencedata analysissqlitesql,Data Science,SQL for Data Science
MCA,50,50,data analyst,Specialization,data science github python programming jupyter notebooks rstudio data analysis pandas numpy probability and statistics regression analysis data visualization dataviz statistical hypothesis testing,Data Science,Data Science Fundamentals with Python and SQL Specialization
CSME,85,85,automation engineer,Course,crtrecursively enumerable setcomputer programmingjava programming,Computer Science,Introduction to Object-Oriented Programming with Java
CSAI,85,85,robotics engineer,Specialization,python programming device programming raspberry pi machine learning internet internet of things iot wireless front and back ends service discovery,Computer Science,Hands-on Internet of Things Specialization
CSME,85,75,ai in manufacturing,Specialization,vertex ai machine learning feature engineering tensorflow cloud computing application programming interfaces api inclusive ml google cloud platform bigquery data cleansing python programming build input data pipeline,Data Science,Machine Learning on Google Cloud Specialization
CS,85,95,ai engineer,Specialization,python programming device programming raspberry pi machine learning internet internet of things iot wireless front and back ends service discovery,Computer Science,Hands-on Internet of Things Specialization
ECE,85,95,iot developer,Specialization,system administration red hat enterprise linux virtualization ibm power systems cloud computing red hat linux linux ibm powervc infrastructure as a service openstack ibm cloud,Information Technology,Linux and Private Cloud Administration on IBM Power Systems Specialization
CSIT,85,85,web developer,Specialization,devops python programming nodejs html and css cloud applications cloud native iaas paas saas hybrid multicloud cloud computing cascading style sheets css html git software,Information Technology,Cloud Application Development Foundations Specialization
CSIT,85,85,web developer,Professional Certificate,cloud hostingapplication programming interfaces apipython programmingcomputer programmingdjango web frameworklinuxweb developmentbash unix shellgithubversion controlmysqldatabase dbmsdatabase administrationbuild a data modeldesign a web applicationdebuggingauthentication and authorizationrest apisfiltering and orderingserializers and deserializerscascading style sheets csshtmlproduction environmentsjavascriptapi endpointspseudocodealgorithmscommunicationdata structurecomputer science,Computer Science,Meta Back-End Developer Professional Certificate
CSIT,85,75,web developer,Course,markov modelbayesian statisticsmixture modelr programming,Data Science,Bayesian Statistics: Mixture Models
MCA,75,65,software developer,Course,database dbmsdata warehousingdata analysisbig datasql,Data Science,Foundations for Big Data Analysis with SQL
CSIT,85,85,data scientist,Specialization,pentaho data visualization dataviz data warehouse sql database db design entityrelationship er model database dbms extraction transformation and loading etl data integration data warehousing materialized view business intelligence,Data Science,Data Warehousing for Business Intelligence Specialization
CS,65,65,machine learning engineer,Course,english grammarpunctuationgrammarwriting,Language Learning,Grammar and Punctuation
CSME,85,75,automation engineer,Specialization,managing machine learning production systems deployment pipelines model pipelines data pipelines machine learning engineering for production humanlevel performance hlp concept drift model baseline project scoping and design ml deployment challenges ml metadata convolutional neural network,Data Science,Machine Learning Engineering for Production (MLOps) Specialization
MCA,50,50,data analyst,Specialization,storyboarding map tableau software data visualization dataviz data virtualization visualization computer graphics data analysis visual analytics interactive visualization,Data Science,Data Visualization with Tableau Specialization
CS,85,85,ai engineer,Specialization,artificial intelligence ai machine learning reinforcement learning function approximation intelligent systems,Data Science,Reinforcement Learning Specialization
IT,85,75,web developer,Course,cash flowfinancial accountingcash flow statementfinancial statement,Business,Financial Accounting: Advanced Topics
IT,75,85,web developer,Specialization,web development react web framework html and css mobile development javascript testdriven development frontend web development objectoriented programming oop linux bash unix shell github version control,Computer Science,Meta React Native Specialization
CS,85,85,data scientist,Specialization,geographic information system gis satellite imagery analysis model building spatial visualization spatial analysis data analysis data visualization dataviz software analytics workflow data management,Data Science,Geographic Information Systems  (GIS) Specialization
CSIT,85,85,devops engineer,Specialization,predictive modelling financial engineering machine learning tensorflow reinforcement learning option pricing and risk management simple model for market dynamics qlearning using financial problems optimal trading portfolio optimization,Data Science,Machine Learning and Reinforcement Learning in Finance Specialization
IT,75,85,web developer,Course,risk managementcorporate financemergers and acquisitions madebt,Business,Corporate Finance II: Financing Investments and Managing Risk
CSIT,85,85,devops engineer,Course,artificial neural networkxgboosttensorflowtree ensemblesadvice for model development,Data Science,Advanced Learning Algorithms
IT,85,85,software engineer,Course,python programmingmachine learning ml algorithmsmachine learningscikitlearn,Data Science,Applied Machine Learning in Python
CS,85,95,ai engineer,Course,professionalemail writingcommunicationwriting,Language Learning,Write Professional Emails in English
MCA,65,50,data analyst,Course,data warehousingmicrostrategydata warehousesql,Data Science,Design and Build a Data Warehouse for Business Intelligence Implementation
CSIT,85,85,devops engineer,Course,teachingcommunicationplanningattention deficit hyperactivity disorder adhd,Social Sciences,ADHD: Everyday Strategies for Elementary Students
ECE,75,75,iot developer,Course,engineering managementagile managementservant leadershipstrategic managementproject management,Business,Agile Project Management
CS,85,95,cybersecurity analyst,Specialization,data structure hash table java programming objectoriented programming oop algorithms problem solving string computer science cryptography logic programming sorting algorithm trees data structures linked list,Computer Science,Object Oriented Programming in Java Specialization
CSIT,85,85,data scientist,Specialization,data collection cluster sampling r programming missing data data quality data analysis data generating process,Data Science,Survey Data Collection and Analytics  Specialization
IT,85,85,cloud engineer,Course,google compute enginegoogle app engine gaegoogle cloud platformcloud computing,Information Technology,Google Cloud Fundamentals: Core Infrastructure
CSIT,85,85,devops engineer,Course,promotion and marketing communicationsfood marketingmarketingbrand management,Business,Food & Beverage Management
CS,85,95,data scientist,Course,data analysisdebuggingr programmingrstudio,Data Science,R Programming
EN,75,75,control systems engineer,Course,linuxweb developmentbash unix shellgithubversion control,Computer Science,Version Control
CSIT,75,75,software engineer,Specialization,geographic information system gis satellite imagery analysis model building spatial visualization spatial analysis data analysis data visualization dataviz software analytics workflow data management,Data Science,Geographic Information Systems  (GIS) Specialization
IT,75,75,data analyst,Course,data analysistableau softwaredata visualization datavizvisualization computer graphics,Data Science,Data Visualization and Communication with Tableau
CSIT,85,95,web developer,Course,web servicemicroservicesrepresentational state transfer restserviceoriented architecture,Computer Science,Service-Oriented Architecture
ECE,75,75,iot developer,Course,capital budgetingrisk analysisprojectfinance,Business,Financing and Investing in Infrastructure
MCA,75,65,web developer,Course,web applicationfrontend web developmentreact web frameworkapplication development,Computer Science,React Basics
CSIT,85,85,data scientist,Specialization,data analysis data visualization dataviz mathematical optimization sql data model data quality regression analysis data cleansing predictive modelling exploratory data analysis simulation business analytics,Business,Advanced Business Analytics Specialization
ME,75,75,design engineer,Course,autocaddesignautodeskengineeringcomputeraided design cad,Physical Science and Engineering,Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep
CSME,85,85,automation engineer,Course,probabilistic neural networkdeep learninggenerative modeltensorflowprobabilistic programming language prpl,Data Science,Probabilistic Deep Learning with TensorFlow 2
ECE,85,85,vlsi engineer,Course,aws identity and access managementnetworking on awsaws management consolecloud computingaws security,Information Technology,AWS Cloud Technical Essentials
ECE,85,95,signal processing engineer,Course,cloud nativedevopsiaas paas saashybrid multicloudcloud computing,Information Technology,Introduction to Cloud Computing
ECE,85,95,signal processing engineer,Course,python programmingtableau softwaredata visualization datavizeffective communicationexploratory data analysis,Data Science,Go Beyond the Numbers: Translate Data into Insights
MCA,65,50,data analyst,Course,data analysispredictive analyticsdata visualization datavizdata architecturecoding,Data Science,Introduction to Accounting Data Analytics and Visualization
CS,85,95,software engineer,Specialization,data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,Data Science,Data Mining  Specialization
ECE,85,95,signal processing engineer,Specialization,copyright music production contracts pro tools music recording music business revenue streams teambuilding audio production music songwriting create music legally,Arts and Humanities,The Business of Music Production Specialization
MCA,75,65,software developer,Specialization,cloud storage data analysis big data cloudera sql database dbms data warehousing apache hive apache impala data management distributed file systems,Data Science,Modern Big Data Analysis with SQL Specialization
CS,85,95,data scientist,Course,data scienceethicsalgorithmsprivacyphilosophy,Data Science,Ethical Issues in Data Science
CSIT,75,85,devops engineer,Course,schedulelinear scheduling methodprogram evaluation and review technique pertcritical path method,Business,Construction Scheduling
ECE,85,95,signal processing engineer,Specialization,artificial neural network convolutional neural network tensorflow recurrent neural network transformers deep learning backpropagation python programming neural network architecture mathematical optimization hyperparameter tuning inductive transfer,Data Science,Deep Learning Specialization
ECE,85,95,signal processing engineer,Course,data scienceinformation engineeringartificial intelligence aimachine learningpython programming,Data Science,AI Workflow: Business Priorities and Data Ingestion
IT,75,75,data analyst,Course,data sciencedeep learningmachine learningbig datadata mining,Data Science,What is Data Science? 
ECE,75,95,signal processing engineer,Specialization,strategic management negotiation leadership business strategy selfawareness ethical decisionmaking defining leadership trust in relationships leadership development develop team culture navigate growth and change in teams create space for deib,Business,Strategic Leadership and Management Specialization
CS,85,95,cybersecurity analyst,Course,data analysistableau softwaredata visualization datavizvisualization computer graphics,Data Science,Data Visualization and Communication with Tableau
CS,75,75,software engineer,Specialization,bash unix shell database dbms web application python programming sql vim pandas visual studio code data structure data management linux web scraping,Information Technology,"Python, Bash and SQL Essentials for Data Engineering Specialization"
IT,85,85,software engineer,Course,basic python data structuresfundamental programming conceptsbasic python syntaxpython programmingobjectoriented programming oop,Information Technology,Crash Course on Python
CS,65,65,machine learning engineer,Course,graphsunsupervised learningautoencoderdeep learning,Data Science,Deep Learning Methods for Healthcare
CS,85,95,data scientist,Course,data analysistableau softwaredata virtualizationdata visualization dataviz,Data Science,Essential Design Principles for Tableau
CSIT,85,85,web developer,Course,database dbmsdata warehousingnosqlbig datadatabase administration,Information Technology,Advanced Topics and Future Trends in Database Technologies
CSME,85,85,automation engineer,Course,random forestmachine learning ml algorithmsmachine learningr programming,Data Science,Practical Machine Learning
IT,85,75,web developer,Course,ux and uireact web frameworkgithubfigmasql,Computer Science,Capstone (React App)
CSIT,85,85,web developer,Specialization,html javascript cascading style sheets css java programming html algorithms problem solving string computer science data structure cryptography hash table programming principles,Computer Science,Java Programming and Software Engineering Fundamentals Specialization
CSIT,85,85,web developer,Specialization,cascading style sheets css html javascript sql django web framework hypertext transfer protocol http django template language get post objectoriented programming oop crosssite scripting forgery csrf user authentication sessions and cookies,Computer Science,Django for Everybody Specialization
CSAI,85,85,robotics engineer,Specialization,socialemotional learning online teaching active learning neurodiversity teaching diversity inclusive teaching strategies lesson plan strategies in teaching social emotional teaching online,Social Sciences,Uncommon Sense Teaching Specialization
ECE,75,75,embedded systems engineer,Course,engaging teamsapplying visioncommunicationasking questionsrecruiting,Personal Development,Challenges of Leading Technical Teams
CS,75,75,software engineer,Specialization,cloud storage data analysis big data cloudera sql database dbms data warehousing apache hive apache impala data management distributed file systems,Data Science,Modern Big Data Analysis with SQL Specialization
CS,85,85,data scientist,Course,data analysismysqlteradatasql,Data Science,Managing Big Data with MySQL
CS,85,85,data scientist,Course,data analysispredictive analyticsdata visualization datavizdata architecturecoding,Data Science,Introduction to Accounting Data Analytics and Visualization
ECE,85,85,embedded systems engineer,Specialization,cryptography cybersecurity risk assessment cyber defense cyber attacks information security infosec denialofservice attack dos publickey cryptography,Computer Science,Introduction to Cyber Security Specialization
CSIT,85,85,web developer,Specialization,cloud platforms cloud storage google cloud platform google compute engine google app engine gae cloud computing mysql cloud sql sql operations database dbms data management postgresql,Information Technology,Google Cloud Database Engineer Specialization
ECE,85,95,signal processing engineer,Course,humanlevel performance hlpconcept driftmodel baselineproject scoping and designml deployment challenges,Data Science,Introduction to Machine Learning in Production
CSME,85,85,automation engineer,Course,linuxembedded systems engineeringc programmingshell scriptelectrical engineering,Computer Science,Linux System Programming and Introduction to Buildroot
CSAI,85,85,robotics engineer,Course,artificial intelligence aiweb applicationpython programmingapplication developmentflask,Computer Science,Python Project for AI & Application Development 
ECE,85,75,signal processing engineer,Course,negotiationleadershipteam managementcollaboration,Business,"High Performance Collaboration: Leadership, Teamwork, and Negotiation"
CSIT,85,85,devops engineer,Specialization,data science github python programming jupyter notebooks rstudio data analysis pandas numpy probability and statistics regression analysis data visualization dataviz statistical hypothesis testing,Data Science,Data Science Fundamentals with Python and SQL Specialization
EN,75,75,control systems engineer,Course,art historyarthistorycreativity,Arts and Humanities,Fashion as Design
CS,65,65,machine learning engineer,Specialization,career fulfillment self awareness personal development reflection learning from failure strategic leadership change management leadership development learning decisionmaking management learning how to learn,Business,"Strategic Leadership: Impact, Change, and Decision-Making Specialization"
CSIT,85,85,devops engineer,Course,data sciencedata analysismachine learningproject,Data Science,A Crash Course in Data Science
CSME,85,85,automation engineer,Course,screen scrapingemail automationdata scrapingworkbook automationexcel automation,Computer Science,Automation Techniques in RPA
CSIT,85,85,data scientist,Specialization,data science data analysis data visualization dataviz reproducible research,Data Science,Data Visualization & Dashboarding with R Specialization
CSIT,85,85,data scientist,Course,data analysispython programmingdatabase dbmsdata visualization dataviz,Data Science,"Capstone: Retrieving, Processing, and Visualizing Data with Python"
CS,85,95,ai engineer,Specialization,machine learning tensorflow advanced deployment object detection javascript convolutional neural network tensorflowjs tensorflow lite mathematical optimization artificial neural network extraction transformation and loading etl data pipelines,Data Science,TensorFlow: Data and Deployment Specialization
CSIT,85,85,web developer,Course,django template languageget postobjectoriented programming oopcrosssite scripting forgery csrfdjango web framework,Computer Science,Building Web Applications in Django
CSIT,85,85,web developer,Course,react javascript librarydata managementapplication developmentrest apis,Computer Science,Working with Data
CS,75,85,data scientist,Course,data scienceethicsalgorithmsprivacyphilosophy,Data Science,Ethical Issues in Data Science
IT,85,75,web developer,Course,organizational cultureethicsdecisionmakingstrategic leadershiporganizational change,Business,Managing the Organization
CSIT,85,85,data scientist,Specialization,big data neoj mongodb apache spark apache hadoop mapreduce cloudera data model data modeling data management splunk machine learning concepts,Data Science,Big Data Specialization
ECE,85,75,signal processing engineer,Course,artificial intelligence aiweb applicationpython programmingapplication developmentflask,Computer Science,Python Project for AI & Application Development 
CSAI,85,85,robotics engineer,Specialization,data science information engineering artificial intelligence ai machine learning python programming,Data Science,IBM AI Enterprise Workflow Specialization
IT,85,85,cloud engineer,Specialization,kubernetes containers rhocp openshift cloud computing cloud platforms cloud applications,Information Technology,Cloud-Native Development with OpenShift and Kubernetes Specialization
ECE,85,85,signal processing engineer,Course,mainframezosenterprise softwaresecurityibm z,Information Technology,Introduction to Enterprise Computing
CS,85,95,data scientist,Specialization,cloud storage data analysis big data cloudera sql database dbms data warehousing apache hive apache impala data management distributed file systems,Data Science,Modern Big Data Analysis with SQL Specialization
MCA,65,50,web developer,Specialization,data science decision support system health informatics health care informatics health digital health decision analysis information technology planning strategic leadership knowledge acquisition decision tree,Health,Health Informatics Specialization
CS,85,95,ai engineer,Specialization,model interpretation image segmentation natural language extraction machine learning timetoevent modeling deep learning model evaluation multiclass classification random forest model tuning treatment effect estimation machine learning interpretation,Data Science,AI for Medicine Specialization
CSME,85,85,automation engineer,Specialization,json xml python programming database dbms python syntax and semantics basic programming language computer programming data structure tuple web scraping sqlite sql,Computer Science,Python for Everybody Specialization
IT,85,85,software engineer,Course,python programmingnumpypandasdata cleansing,Data Science,Introduction to Data Science in Python
CSIT,85,85,data scientist,Course,data analysissimulationbusiness analyticsmathematical optimization,Data Science,Business Analytics for Decision Making
IT,75,75,data analyst,Specialization,data collection cluster sampling r programming missing data data quality data analysis data generating process,Data Science,Survey Data Collection and Analytics  Specialization
CS,85,85,ai engineer,Specialization,predictive modelling financial engineering machine learning tensorflow reinforcement learning option pricing and risk management simple model for market dynamics qlearning using financial problems optimal trading portfolio optimization,Data Science,Machine Learning and Reinforcement Learning in Finance Specialization
IT,85,85,cloud engineer,Project,nodejsdatabase dbmsgoogle cloud platform,Information Technology,Deploy a Modern Web App connected to a Cloud Spanner Instance
CSIT,75,75,devops engineer,Course,customer analyticsstrategic managementdata analysisbusiness analytics,Data Science,Business Analytics Capstone
CS,75,75,software engineer,Course,python programmingmachine learning conceptsmachine learningdeep learning,Data Science,Machine Learning Foundations: A Case Study Approach
CSIT,85,85,data scientist,Course,data sciencegithubr programmingrstudio,Data Science,The Data Scientist’s Toolbox
IT,85,85,cloud engineer,Specialization,tensorflow bigquery google cloud platform cloud computing,Computer Science,"Data Engineering, Big Data and ML on Google Cloud 日本語版 Specialization"
IT,85,85,cloud engineer,Specialization,devops python programming nodejs html and css cloud applications cloud native iaas paas saas hybrid multicloud cloud computing cascading style sheets css html git software,Information Technology,Cloud Application Development Foundations Specialization
CS,75,75,software engineer,Specialization,machine learning gpu parallel computing image processing c cuda python programming thread computing algorithms cc nvidia data science,Computer Science,GPU Programming Specialization
CS,75,75,software engineer,Specialization,data science artificial intelligence ai information technology it architecture data architecture leadership deep learning jobs machine learning big data data mining management analytics,Data Science,IBM AI Foundations for Business Specialization
EN,75,75,control systems engineer,Course,linuxweb developmentbash unix shellgithubversion control,Computer Science,Version Control
ECE,85,85,signal processing engineer,Specialization,machine learning gpu parallel computing image processing c cuda python programming thread computing algorithms cc nvidia data science,Computer Science,GPU Programming Specialization
ECE,75,75,iot developer,Course,application securitythreat intelligencenetwork defensive tacticssecurity analystcybersecurity,Information Technology,Cyber Threat Intelligence
ECE,85,75,signal processing engineer,Course,cascading style sheets csshtmlgit softwarejavascriptcloud applications,Computer Science,"Introduction to Web Development with HTML, CSS, JavaScript"
CS,85,95,data scientist,Course,data sciencedeep learningartificial intelligence aijobsmachine learning,Data Science,Introduction to Artificial Intelligence (AI)
CSIT,85,75,web developer,Course,patient caresystems thinkingquality improvement,Health,Patient Safety and Quality Improvement: Developing a Systems View (Patient Safety I)
CS,85,85,ai engineer,Course,machine learning conceptsknimemachine learningapache spark,Data Science,Machine Learning With Big Data
MCA,65,50,data analyst,Course,data sciencegithubpython programmingjupyter notebooksrstudio,Data Science,Tools for Data Science
CS,85,75,machine learning engineer,Course,algorithmic tradingpython programmingmachine learning,Data Science,Using Machine Learning in Trading and Finance
CSAI,85,85,robotics engineer,Specialization,describe fundamental principles of machine learning on azure describe ai workloads and considerations describe features of conversational ai workloads on azure describe features of computer vision workloads on azure describe features of natural language processing nlp workloads on azure artificial intelligence ai microsoft azure machine learning computer vision natural language processing test preparation,Data Science,Microsoft Azure AI Fundamentals AI-900 Exam Prep Specialization
CS,85,85,data scientist,Course,data scienceselect sqlrelational databases rdbmsr programmingdata analysis,Data Science,SQL for Data Science with R
CSIT,75,75,devops engineer,Course,mechanical engineeringchemistrythermodynamicsgases,Physical Science and Engineering,Ideal Gases
IT,85,85,web developer,Course,django template languageget postobjectoriented programming oopcrosssite scripting forgery csrfdjango web framework,Computer Science,Building Web Applications in Django
CS,85,75,machine learning engineer,Specialization,artificial intelligence ai machine learning reinforcement learning function approximation intelligent systems,Data Science,Reinforcement Learning Specialization
CS,85,95,data scientist,Course,data sciencedata analysismachine learning,Data Science,Data Science Fundamentals for Data Analysts
CSIT,85,75,web developer,Specialization,system administration red hat enterprise linux virtualization ibm power systems cloud computing red hat linux linux ibm powervc infrastructure as a service openstack ibm cloud,Information Technology,Linux and Private Cloud Administration on IBM Power Systems Specialization
CSIT,85,75,software engineer,Specialization,data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,Data Science,Data Mining  Specialization
ECE,85,75,signal processing engineer,Specialization,experiment neuroscience r programming image processing statistics statistical analysis statistical model preprocessor brain neurology,Data Science,Neuroscience and Neuroimaging Specialization
CSIT,85,85,data scientist,Specialization,data science python programming data analysis pandas numpy jupyter notebooks predictive modelling data visualization dataviz model selection dashboards and charts dash matplotlib,Data Science,Applied Data Science Specialization
ECE,85,85,signal processing engineer,Course,consumer behaviourmarketingconsumer neuroscienceneuromarketing,Business,An Introduction to Consumer Neuroscience & Neuromarketing 
