Branch,Percentage_10th,Percentage_12th,Course Type,Skills,Category,Skills_Count,Academic_Score
IT,75,75,Course,data sciencedata analysismachine learning,Data Science,4,75.0
CS,85,95,Specialization,data analysis microsoft excel data visualization dataviz data cleansing big data power bi,Business,13,91.0
CS,85,85,Specialization,data science python programming data analysis pandas numpy jupyter notebooks predictive modelling data visualization dataviz model selection dashboards and charts dash matplotlib,Data Science,22,85.0
CSIT,85,85,Course,web development toolsuser interfacefrontend web developmenthtml and cssresponsive web design,Computer Science,10,85.0
ECE,75,75,Course,salienceimage segmentationmodel interpretabilityclass activation mapstensorflow object detection api,Data Science,8,75.0
ECE,85,95,Course,bash unix shelldatabase dbmsdata managementlinux,Information Technology,5,91.0
MCA,50,50,Course,data sciencespreadsheetmicrosoft exceldata analysisdata visualization dataviz,Data Science,6,50.0
ECE,85,75,Course,web developmentbackend developmentserverside javascriptexpresscomputer science,Computer Science,5,79.0
IT,85,85,Course,cloud platformscloud applicationskubernetescloud computing,Information Technology,4,85.0
CS,85,95,Course,python programmingdata visualization datavizlinear regressionsqldata preparation,Data Science,6,91.0
MCA,75,65,Specialization,data management cloud integration data security automation cloud computing,Business,9,69.0
MCA,85,85,Professional Certificate,relational database management syste rdbmsetl data pipelinesnosql and big dataapache sparksql,Information Technology,11,85.0
CSIT,85,85,Course,data sciencedeep learningartificial intelligence aijobsmachine learning,Data Science,6,85.0
CSIT,75,75,Course,python programmingnumpypandasdata cleansing,Data Science,3,75.0
ECE,85,85,Course,project planningengineering managementbudget managementrisk managementproject management,Business,6,85.0
MCA,65,50,Course,r programmingdata analysisdata visualization datavizr markdownrstudio,Data Science,6,56.0
CS,85,95,Course,ml metadataconvolutional neural networktensorflow extended tfxdata validationdata transformation,Data Science,8,91.0
ECE,75,95,Specialization,accounting scenario analysis financial statement analysis strategic management finance risk financial analysis financial statement planning decisionmaking data analysis budget,Business,19,87.0
CSIT,85,95,Course,data scienceartificial neural networkmachine learningpredictive analyticsmodeling,Data Science,6,91.0
CSIT,85,85,Course,forecastingmachine learningtensorflowtime seriesprediction,Data Science,3,85.0
CS,85,95,Course,data analysisspark sqlsql,Data Science,3,91.0
CSIT,85,75,Specialization,html javascript cascading style sheets css java programming html algorithms problem solving string computer science data structure cryptography hash table programming principles,Computer Science,22,79.0
IT,85,75,Course,financial managementrisk managementfinancial mismanagementfinancial aid management,Business,6,79.0
ECE,75,75,Course,cloud computing securityartificial intelligence aimicrosoft azureinternet of things iot,Information Technology,9,75.0
CS,85,95,Course,data sciencer programming,Data Science,3,91.0
ECE,85,95,Course,testdriven developmentjavascriptfrontend web developmentobjectoriented programming oop,Computer Science,6,91.0
CSIT,85,85,Course,cloud platformscloud applicationskubernetescloud computing,Information Technology,4,85.0
CS,85,95,Course,statistical data bias detectionmulticlass classification with fasttext and blazingtextdata ingestionexploratory data analysisautomated machine learning automl,Data Science,15,91.0
CSIT,85,95,Specialization,cascading style sheets css html javascript sql django web framework hypertext transfer protocol http django template language get post objectoriented programming oop crosssite scripting forgery csrf user authentication sessions and cookies,Computer Science,31,91.0
MCA,75,65,Specialization,computer programming java programming web development java database connectivity jdbc java class library objectoriented programming oop crt recursively enumerable set java compiler javac iterator linearity,Computer Science,25,69.0
IT,85,85,Specialization,continuous integration devops monitoring and logging continuous delivery microservices aws identity and access management networking on aws aws management console cloud computing aws security test automation aws cloud,Computer Science,28,85.0
CS,85,95,Specialization,data science data management data analysis communication leadership machine learning project team building management team management interpretation exploratory data analysis,Data Science,20,91.0
CS,85,85,Course,business transformationbusiness strategyleadership and managementhuman resources hrremote work,Business,8,85.0
CS,85,85,Course,data sciencedeep learningartificial intelligence aijobsmachine learning,Data Science,6,85.0
ECE,75,75,Professional Certificate,maquette fonctionnelleexpérience utilisateur uxconception expérience utilisateur uxdprototyperecherche uxarmatureconception de lexpérience utilisateur uxdtests de la facilité dutilisationfigmamaquetteadobe xdtest dutilisabilitétest de facilité dutilisationemplois de conception ux,Computer Science,24,75.0
CSIT,85,75,Specialization,data science machine learning github r programming exploratory data analysis rstudio data analysis debugging data manipulation regular expression regex data cleansing cluster analysis,Data Science,23,79.0
CS,65,65,Course,python programmingmachine learning conceptsmachine learningdeep learning,Data Science,6,65.0
ECE,75,75,Course,valuebased careorganizational structurehealthcare managementhealthcare qualitypatient care,Health,6,75.0
MCA,65,50,Specialization,web development react web framework html and css mobile development javascript testdriven development frontend web development objectoriented programming oop linux bash unix shell github version control,Computer Science,26,56.0
CSIT,85,85,Specialization,devops python programming nodejs html and css cloud applications cloud native iaas paas saas hybrid multicloud cloud computing cascading style sheets css html git software,Information Technology,25,85.0
CS,85,85,Course,business analysis skills and knowledgemanagementproject management skills and knowledge,Information Technology,9,85.0
MCA,75,65,Specialization,data collection cluster sampling r programming missing data data quality data analysis data generating process,Data Science,15,69.0
CSIT,85,85,Course,web designstyle sheetscascading style sheets cssweb development,Computer Science,7,85.0
ECE,85,85,Course,risk managementproject sustainmentplan implementation,Health,4,85.0
IT,85,85,Course,web development toolsuser interfacefrontend web developmenthtml and cssresponsive web design,Computer Science,10,85.0
CS,85,95,Course,computer programmingandroid studioandroid software developmentconcurrent computing,Computer Science,6,91.0
CSIT,85,75,Course,data sciencer programmingdata visualization datavizlinear regressionexploratory data analysis,Data Science,8,79.0
CS,85,95,Specialization,data science spreadsheet microsoft excel data analysis data visualization dataviz pivot table ibm cognos analytics dashboard,Data Science,16,91.0
MCA,85,85,Specialization,machine learning analytics data analysis power bi rstudio business analytics r programming health care r and rstudio data cleansing and exploration alteryx analytic mindset,Business,24,85.0
ECE,85,85,Course,bioinformaticsbioinformatics algorithmsbiologypython programming,Health,3,85.0
MCA,75,65,Course,cloud databasespython programmingjupyter notebooksrelational database management system rdbmssql,Data Science,8,69.0
IT,75,85,Course,web designfrontend web developmentuser experience uxaccessibility,Computer Science,6,81.0
CSIT,85,85,Specialization,web development react web framework html and css mobile development javascript testdriven development frontend web development objectoriented programming oop linux bash unix shell github version control,Computer Science,26,85.0
MCA,75,65,Specialization,html javascript cascading style sheets css java programming html algorithms problem solving string computer science data structure cryptography hash table programming principles,Computer Science,22,69.0
ECE,75,75,Course,controllable generationwgansconditional generationcomponents of gansdcgans,Data Science,5,75.0
CS,85,95,Specialization,text mining python programming pandas matplotlib numpy data cleansing data virtualization data visualization dataviz machine learning ml algorithms machine learning scikitlearn natural language toolkit nltk,Data Science,25,91.0
CS,75,85,Specialization,data science python programming data analysis pandas numpy jupyter notebooks predictive modelling data visualization dataviz model selection dashboards and charts dash matplotlib,Data Science,22,81.0
ECE,85,85,Course,aws lambdaamazon lexamazon api gatewayserverless architectureamazon dynamodb,Information Technology,7,85.0
CS,85,85,Specialization,data science artificial intelligence ai business cloud computing technology cloud native devops iaas paas saas hybrid multicloud deep learning jobs machine learning,Business,22,85.0
CSIT,85,85,Specialization,data science artificial intelligence ai business cloud computing technology cloud native devops iaas paas saas hybrid multicloud deep learning jobs machine learning,Business,22,85.0
CS,85,95,Specialization,cloud storage data analysis big data cloudera sql database dbms data warehousing apache hive apache impala data management distributed file systems,Data Science,21,91.0
MCA,65,50,Specialization,data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,Data Science,28,56.0
MCA,85,85,Specialization,shiny dashboards data analysis and modelling r programmin language data visualization dataviz sql rdbms data science r programming select sql relational databases rdbms data analysis statistical analysis linear regression,Data Science,29,85.0
ECE,85,95,Specialization,microsoft azure cloud computing cloud computing security artificial intelligence ai internet of things iot application design cloud governance strategy test preparation,Computer Science,21,91.0
CS,85,75,Specialization,vertex ai machine learning feature engineering tensorflow cloud computing application programming interfaces api inclusive ml google cloud platform bigquery data cleansing python programming build input data pipeline,Data Science,27,79.0
CSIT,85,85,Course,brand managementchoosing advisorsbrandentrepreneurshipstrategic management,Business,4,85.0
ECE,85,95,Specialization,data science artificial intelligence ai machine learning predictive analytics modeling artificial neural network project management privacy design thinking ethics,Data Science,19,91.0
CS,85,85,Specialization,model interpretation image segmentation natural language extraction machine learning timetoevent modeling deep learning model evaluation multiclass classification random forest model tuning treatment effect estimation machine learning interpretation,Data Science,27,85.0
ECE,85,85,Course,herbal preparationsintegrative caresymptom managementbotanical safetyevidencebased practice,Health,6,85.0
CS,85,95,Specialization,preattck python programming cybersecurity attack and defend computer programming introduction to python for cybersecurity persistence privilege escalation and evasion execution active defense,Information Technology,22,91.0
CS,75,75,Course,data scienceartificial neural networkmachine learningpredictive analyticsmodeling,Data Science,6,75.0
MCA,75,65,Specialization,data analysis data visualization dataviz mathematical optimization sql data model data quality regression analysis data cleansing predictive modelling exploratory data analysis simulation business analytics,Business,24,69.0
CSIT,85,85,Course,information retrieval irdocument retrievalmachine learningrecommender systems,Data Science,6,85.0
CSIT,85,85,Course,marketing planmarket analysissocial media marketingecommerce,Business,5,85.0
CS,75,75,Course,software development kit sdkagile software developmentscrum software development,Computer Science,8,75.0
CSIT,85,85,Course,cryptocurrencyblockchainsoliditysmart contractremix ide,Computer Science,3,85.0
CSIT,85,75,Specialization,pentaho data visualization dataviz data warehouse sql database db design entityrelationship er model database dbms extraction transformation and loading etl data integration data warehousing materialized view business intelligence,Data Science,28,79.0
IT,85,75,Course,web developmentreact web frameworkhtml and cssmobile developmentjavascript,Computer Science,7,79.0
CSIT,85,85,Course,data sciencepython programmingdata analysispandasnumpy,Data Science,4,85.0
CSIT,85,85,Specialization,data science artificial intelligence ai information technology it architecture data architecture leadership deep learning jobs machine learning big data data mining management analytics,Data Science,23,85.0
MCA,85,65,Course,data sciencepython programmingdata analysispandasnumpy,Data Science,4,73.0
ECE,85,75,Course,computer programmingc programming,Computer Science,3,79.0
CSIT,85,85,Course,communicationleadershiphuman resources hr,Business,3,85.0
CS,85,85,Specialization,data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,Data Science,28,85.0
MCA,75,65,Course,web developmentreact web frameworkhtml and cssmobile developmentjavascript,Computer Science,7,69.0
ECE,75,95,Specialization,big data neoj mongodb apache spark apache hadoop mapreduce cloudera data model data modeling data management splunk machine learning concepts,Data Science,20,87.0
IT,85,85,Course,statisticsr programmingrstudioexploratory data analysis,Data Science,4,85.0
IT,75,85,Course,basic python data structuresfundamental programming conceptsbasic python syntaxpython programmingobjectoriented programming oop,Information Technology,11,81.0
ECE,85,95,Project,critical thinkingcreative writingai communication,Computer Science,4,91.0
IT,85,85,Course,google compute enginegoogle app engine gaegoogle cloud platformcloud computing,Information Technology,9,85.0
CS,85,95,Specialization,big data machine learning deep learning health care graphs unsupervised learning autoencoder,Data Science,12,91.0
CSIT,85,85,Specialization,pentaho data visualization dataviz data warehouse sql database db design entityrelationship er model database dbms extraction transformation and loading etl data integration data warehousing materialized view business intelligence,Data Science,28,85.0
CS,75,85,Course,data scienceselect sqlrelational databases rdbmsr programmingdata analysis,Data Science,7,81.0
ECE,85,85,Course,customer developmentproduct developmentmarketingproduct managementleadership,Business,4,85.0
CS,85,75,Course,statistical data bias detectionmulticlass classification with fasttext and blazingtextdata ingestionexploratory data analysisautomated machine learning automl,Data Science,15,79.0
CSIT,75,75,Course,python programmingnumpypandasdata cleansing,Data Science,3,75.0
ECE,85,85,Course,suffix treesuffix arrayknuthmorrispratt kmp algorithmalgorithms on strings,Computer Science,7,85.0
MCA,75,65,Course,css codehtmljavascriptcascading style sheets css,Computer Science,5,69.0
CSIT,85,85,Specialization,jquery web application development hypertext preprocessor php javascript mysql html cascading style sheets css phpmyadmin relational database sql create read update and delete,Computer Science,23,85.0
CSIT,85,85,Course,cluster analysisggplotr programmingexploratory data analysis,Data Science,5,85.0
CSIT,85,85,Course,disease managementnutritionanimal behaviorvital signs,Health,4,85.0
IT,85,75,Course,capital asset pricing model capmrisk measurementsvalue at risk varexchange traded funds etfstransaction costsmodeling,Business,13,79.0
MCA,85,85,Specialization,cloud storage data analysis big data cloudera sql database dbms data warehousing apache hive apache impala data management distributed file systems,Data Science,21,85.0
CSIT,85,85,Course,data sciencemachine learningr programmingnatural language processing,Data Science,6,85.0
MCA,75,65,Course,data sciencer programming,Data Science,3,69.0
CSIT,75,75,Course,epipolar geometrycamera modelcamera calibrationstructure from motionsimple stereo,Computer Science,7,75.0
CSIT,85,85,Course,project managementprocurementrisk management planproject risk management,Business,6,85.0
CSIT,85,85,Course,biodiversitybiologyevolutionpaleontology,Health,1,85.0
CSIT,85,85,Course,create read update and deletedata analysismysqlrelational database management system rdbmssql,Data Science,10,85.0
CSIT,85,75,Specialization,codeskulptor data analysis python programming data visualization dataviz python syntax and semantics debugging tuple list label,Computer Science,16,79.0
CS,85,95,Specialization,big data neoj mongodb apache spark apache hadoop mapreduce cloudera data model data modeling data management splunk machine learning concepts,Data Science,20,91.0
MCA,65,50,Course,data analysissimulationbusiness analyticsmathematical optimization,Data Science,4,56.0
CS,85,75,Specialization,subnetwork cybersecurity enterprise system linux information security infosec,Information Technology,8,79.0
CSIT,75,75,Specialization,prostate cancer anatomy of metastasis cancer treatment metastasis theories cancer biology cancer biology cancer genetics molecular biology cancer stem cells,Health,20,75.0
ECE,85,85,Course,document object model domjquerymanytomany data modelingjsonjavascript,Computer Science,6,85.0
ECE,85,95,Specialization,matlab data analysis objectoriented programming oop image processing computer programming problem solving programming language,Computer Science,14,91.0
CSIT,85,85,Specialization,text mining python programming pandas matplotlib numpy data cleansing data virtualization data visualization dataviz machine learning ml algorithms machine learning scikitlearn natural language toolkit nltk,Data Science,25,85.0
ECE,85,75,Course,decision treeensemble learningclassification algorithmssupervised learningmachine learning ml algorithms,Data Science,8,79.0
CSIT,85,95,Specialization,data science artificial intelligence ai business cloud computing technology cloud native devops iaas paas saas hybrid multicloud deep learning jobs machine learning,Business,22,91.0
IT,75,75,Course,data sciencegithubpython programmingjupyter notebooksrstudio,Data Science,4,75.0
MCA,50,50,Course,data scienceethicsalgorithmsprivacyphilosophy,Data Science,2,50.0
MCA,85,85,Project,database dbmsgoogle cloud platformmysql,Information Technology,4,85.0
IT,85,85,Specialization,video game development c sharp c programming language unity user interface game programming crt for loop console applications foreach loop,Computer Science,20,85.0
ECE,75,75,Course,user researchadobe photoshopuser experience uxuser experience design uxd,Computer Science,8,75.0
CS,85,95,Specialization,data analysis data visualization dataviz mathematical optimization sql data model data quality regression analysis data cleansing predictive modelling exploratory data analysis simulation business analytics,Business,24,91.0
IT,85,85,Course,tensorflowbigquerygoogle cloud platformcloud computing,Data Science,4,85.0
ECE,85,95,Professional Certificate,computer visionconvolutional neural networkmachine learningnatural language processing,Data Science,7,91.0
MCA,50,50,Course,python programmingnumpypandasdata cleansing,Data Science,3,50.0
ECE,75,75,Course,advance care planningpatientcentered carepalliative carepsychosocial support,Health,6,75.0
IT,85,85,Course,web applicationpython programmingjupyter notebookscloudhosted notebookscommandline interface,Information Technology,6,85.0
CSIT,85,75,Specialization,insert and modify oracle sql databases delete from oracle sql databases create oracle sql databases,Information Technology,15,79.0
ECE,85,85,Course,data manipulationregular expression regexr programmingdata cleansing,Data Science,6,85.0
IT,85,85,Course,data clustering algorithmstext miningprobabilistic modelssentiment analysis,Data Science,6,85.0
ECE,85,75,Specialization,credit technology cryptocurrency smart investing blockchain payment systems processing payments payment processing payment technology value propositions decentralization algorithms consensus algorithms blockchain as a business solution,Business,25,79.0
CSIT,85,85,Professional Certificate,manage azure resources for machine learningdeploy and operationalize machine learning solutionsrun experiments and train modelsimplement responsible machine learning,Computer Science,18,85.0
CSIT,85,85,Course,data analysismicrosoft exceldata cleansing,Business,4,85.0
ECE,85,95,Course,market researchresearch methodsproduct researchmarketing intelligence,Business,5,91.0
ECE,85,75,Course,assertivenesscommunicationnegotiationleadership,Business,1,79.0
MCA,65,50,Specialization,data science spreadsheet microsoft excel data analysis data visualization dataviz pivot table ibm cognos analytics dashboard,Data Science,16,56.0
MCA,65,50,Specialization,data collection cluster sampling r programming missing data data quality data analysis data generating process,Data Science,15,56.0
IT,85,75,Course,data warehousingmicrostrategydata warehousesql,Data Science,3,79.0
CS,85,85,Specialization,data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,Data Science,28,85.0
ECE,75,75,Professional Certificate,information security analystit security analystsecurity analystjunior cybersecurity analyst,Information Technology,8,75.0
IT,85,75,Course,data sciencespreadsheetmicrosoft exceldata analysisdata visualization dataviz,Data Science,6,79.0
CSIT,85,85,Specialization,data science data analysis data visualization dataviz reproducible research,Data Science,9,85.0
CS,85,85,Course,machine learning conceptsknimemachine learningapache spark,Data Science,5,85.0
MCA,75,65,Specialization,software requirements product management scrum agile project management agile software development software product management software project management lean software development software development process scrum software development user story,Computer Science,28,69.0
ECE,85,75,Course,market risk managementfinancial risk modelingdesigning a stress test,Business,8,79.0
MCA,50,50,Course,data sciencespreadsheetmicrosoft exceldata analysispivot table,Data Science,5,50.0
MCA,65,50,Course,data analysisspark sqlsql,Data Science,3,56.0
MCA,75,65,Course,agile software developmentsoftware product managementsoftware project managementscrum software development,Computer Science,9,69.0
CS,85,75,Specialization,threat intelligence digital forensics data breach cybersecurity analyst computer security incident management scripting forensics penetration test cybersecurity application security network defensive tactics security analyst,Information Technology,24,79.0
CS,85,75,Specialization,cyberattacks network defense digital forensics cybersecurity ethical hacking ethica hacking network security computer forensics,Computer Science,14,79.0
CS,85,95,Specialization,data analysis microsoft excel data visualization dataviz data cleansing big data power bi,Business,13,91.0
CS,75,75,Course,data scienceethicsalgorithmsprivacyphilosophy,Data Science,2,75.0
CS,85,85,Specialization,tensorflow keras tensorflow probability probabilistic neural networks deep learning probabilistic neural network generative model probabilistic programming language prpl,Data Science,18,85.0
CS,85,85,Course,performance appraisalhuman resources hrperformance managementorganizational culture,Business,6,85.0
CS,85,95,Specialization,pentaho data visualization dataviz data warehouse sql database db design entityrelationship er model database dbms extraction transformation and loading etl data integration data warehousing materialized view business intelligence,Data Science,28,91.0
CSIT,85,85,Specialization,google compute engine google app engine gae google cloud platform cloud computing virtual machine network architecture debugging cloud storage data store load balancing virtual private network vpn autoscaling,Information Technology,28,85.0
ECE,85,95,Course,management consultingbenchmarkingbusiness strategyconsultingindustry analysis,Business,4,91.0
CS,85,85,Specialization,data science information engineering artificial intelligence ai machine learning python programming,Data Science,11,85.0
ECE,85,85,Specialization,financial accounting accounting evaluation business analytics business intelligence marketing marketing strategy persona user experience leadership human resources hr organizational culture,Business,20,85.0
IT,85,85,Professional Certificate,debugginggoogle cloud platformcloud storageapplication developmentcloud computing,Information Technology,6,85.0
IT,85,85,Specialization,kubernetes containers rhocp openshift cloud computing cloud platforms cloud applications,Information Technology,10,85.0
CS,85,95,Specialization,data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,Data Science,28,91.0
MCA,85,85,Course,dashboards and chartsdashpython programmingmatplotlibdata visualization dataviz,Data Science,6,85.0
ECE,85,85,Course,debuggingcloud storagedata storegoogle cloud platform,Information Technology,5,85.0
CS,85,85,Specialization,artificial intelligence ai machine learning reinforcement learning function approximation intelligent systems,Data Science,11,85.0
CSIT,85,95,Course,django template languageget postobjectoriented programming oopcrosssite scripting forgery csrfdjango web framework,Computer Science,11,91.0
IT,85,75,Course,data sciencegithubr programmingrstudio,Data Science,3,79.0
CS,75,85,Specialization,data collection cluster sampling r programming missing data data quality data analysis data generating process,Data Science,15,81.0
MCA,75,65,Course,software developmentproduct managementagile software development,Computer Science,5,69.0
CSIT,85,85,Course,cicdawsdevops,Computer Science,1,85.0
MCA,85,85,Specialization,information engineering python programming extraction transformation and loading etl relational database management system rdbms sql data science database dbms nosql data analysis pandas numpy jupyter notebooks,Information Technology,26,85.0
CSIT,85,85,Course,lazinesstype classfunctional programmingreferential transparencyreactive programming,Computer Science,5,85.0
MCA,75,65,Course,motivationdiversity and inclusioncommunicationhuman resources hr,Business,5,69.0
CSIT,75,75,Course,data warehousingmaterialized viewdata warehousesql,Data Science,4,75.0
ECE,75,75,Course,aws identity and access managementnetworking on awsaws management consolecloud computingaws security,Information Technology,11,75.0
CSIT,75,75,Course,basic python data structuresfundamental programming conceptsbasic python syntaxpython programmingobjectoriented programming oop,Information Technology,11,75.0
CSIT,85,95,Course,data analysisbusiness analysisbusiness analyticsbusiness process,Data Science,5,91.0
CS,75,85,Course,data analysistableau softwaremysqlsql,Data Science,3,81.0
ECE,85,95,Specialization,use qualitative and quantitative research methodologies manage the development and use of different research instruments analyse and interpret data develop a research proposal familiarise with the essentials of market research identify and formulate the research needs understand the research process reflect on the development of the research proposal collect primary and secondary data adopt different sampling approaches evaluate different data collection approaches refine research instruments,Business,65,91.0
ECE,85,85,Course,linuxred hat enterprise linuxvirtualizationibm power systemscloud computing,Information Technology,7,85.0
ECE,85,85,Course,pricingpsychologyprice discriminationpricing strategies,Business,3,85.0
CS,85,95,Course,machine learningpython programmingbuild input data pipelinetensorflowkeras,Data Science,6,91.0
CS,85,85,Specialization,cloud storage data analysis big data cloudera sql database dbms data warehousing apache hive apache impala data management distributed file systems,Data Science,21,85.0
ECE,85,75,Course,critical thinkingdecisionmakingproblem solvingbrainstorming,Business,3,79.0
MCA,65,50,Course,data analysistableau softwaremysqlsql,Data Science,3,56.0
CSIT,85,75,Course,htmljavascriptcss frameworkscascading style sheets css,Computer Science,5,79.0
MCA,75,65,Professional Certificate,data sciencedatabase dbmsnosqlsqldatabase db designdatabase architecturepostgresqlmysqlrelational database management system rdbmscreate read update and deletedata analysisshell scriptbash unix shelllinuxdatabase serversrelational databasedatabase securitydatabase administrationextraction transformation and loading etlapache kafkaapache airflowdata pipelinesdata warehousingcube and rollupbusiness intelligence bistar and snowflake schemacognos analyticsoltp databases,Information Technology,39,69.0
MCA,75,65,Course,data sciencer programming,Data Science,3,69.0
CSIT,85,75,Specialization,big data neoj mongodb apache spark apache hadoop mapreduce cloudera data model data modeling data management splunk machine learning concepts,Data Science,20,79.0
MCA,75,65,Course,graph theoryneojanalyticsgraph database,Data Science,3,69.0
MCA,85,85,Specialization,insert and modify oracle sql databases delete from oracle sql databases create oracle sql databases,Information Technology,15,85.0
CSIT,85,75,Course,cluster analysisggplotr programmingexploratory data analysis,Data Science,5,79.0
CSIT,85,85,Course,data sciencespreadsheetmicrosoft exceldata analysisdata visualization dataviz,Data Science,6,85.0
CS,65,65,Specialization,data science relational database management system rdbms cloud databases python programming sql deep learning machine learning big data data mining github jupyter notebooks rstudio,Data Science,24,65.0
CS,85,95,Course,data sciencegithubpython programmingjupyter notebooksrstudio,Data Science,4,91.0
CS,75,75,Specialization,data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,Data Science,28,75.0
ECE,85,85,Professional Certificate,tableursvisualisation des données datavizsqlnettoyage des donnéesanalyse de donneesprise de décisionrésolution de problèmesquestionnementcollecte de donnéeséthique des donnéesmétadonnéesdétermination de la taille déchantillonfeuille de calculintégrité des donnéesanalyse des donnéesagrégation des donnéescalculs de donnéespresentationlogiciel tableauprogrammation rr markdownrstudioportfolio pour la recherche demploiétude de cas,Data Science,39,85.0
ECE,85,85,Course,warehouse managementlogistics planningsupply chaininventory,Business,4,85.0
CS,85,75,Specialization,data science internet of things iot deep learning apache spark statistics machine learning long shortterm memory istm,Data Science,17,79.0
ECE,85,95,Specialization,financial mismanagement financial management risk management investment financial aid management financial accounting accounting accrual financial statement cash flow cash flow statement stock,Business,22,91.0
CS,85,95,Specialization,data science spreadsheet microsoft excel data analysis data visualization dataviz pivot table ibm cognos analytics dashboard,Data Science,16,91.0
CSIT,85,75,Course,data sciencespreadsheetmicrosoft exceldata analysispivot table,Data Science,5,79.0
ECE,85,75,Course,economicsconsumer behavioursupply and demandcost,Business,4,79.0
CSIT,85,85,Specialization,storyboarding map tableau software data visualization dataviz data virtualization visualization computer graphics data analysis visual analytics interactive visualization,Data Science,18,85.0
CS,85,85,Specialization,machine learning python programming data visualization dataviz data preparation exploratory data analysis data analysis predictive analytics data architecture coding linear regression sql text analysis,Data Science,24,85.0
CS,85,85,Course,modelingproject managementmachine learning,Data Science,3,85.0
CS,65,65,Professional Certificate,manage azure resources for machine learningdeploy and operationalize machine learning solutionsrun experiments and train modelsimplement responsible machine learning,Computer Science,18,65.0
IT,75,75,Course,data analysistableau softwaredata virtualizationdata visualization dataviz,Data Science,6,75.0
IT,75,85,Specialization,web development cascading style sheets css html javascript responsive web design web design web accessibility html style sheets document object model dom bootstrap frontend framework,Computer Science,25,81.0
CS,85,85,Specialization,data science data analysis machine learning spark sql sql databricks,Data Science,10,85.0
CS,85,85,Specialization,artificial neural network convolutional neural network tensorflow recurrent neural network transformers deep learning backpropagation python programming neural network architecture mathematical optimization hyperparameter tuning inductive transfer,Data Science,25,85.0
ECE,85,75,Course,dyslexiaeducationreadinglawlearning,Health,1,79.0
IT,75,85,Course,data manipulationregular expression regexr programmingdata cleansing,Data Science,6,81.0
IT,85,85,Project,cloud computing securitydatabase dbmsgoogle cloud platform,Information Technology,6,85.0
CSIT,85,85,Course,accountingfinancial analysisfinancial statementfinance,Business,3,85.0
CSIT,75,85,Course,nutritionorganic foodfood safetyfood science,Health,4,81.0
IT,75,85,Specialization,linux software design and architecture python programming git and github software development lifecycle sdlc basic programming concepts careers in software engineering programming languages and frameworks the software development lifecycle sdlc software architecture shell script bash unix shell,Computer Science,37,81.0
MCA,85,65,Course,data sciencer programming,Data Science,3,73.0
CS,85,85,Specialization,data science python programming data analysis pandas numpy jupyter notebooks predictive modelling data visualization dataviz model selection dashboards and charts dash matplotlib,Data Science,22,85.0
IT,85,85,Course,web servicemicroservicesrepresentational state transfer restserviceoriented architecture,Computer Science,6,85.0
IT,75,75,Course,data visualization softwaretableau softwaredata virtualizationdata visualization dataviz,Data Science,7,75.0
ECE,85,75,Course,spring frameworkspring configuration techniquesinversion of controldependency injectionjunit,Computer Science,7,79.0
CS,85,75,Course,data managementcloud integrationdata securityautomationcloud computing,Business,5,79.0
CSIT,85,85,Course,performance appraisalhuman resources hrperformance managementorganizational culture,Business,6,85.0
CSIT,85,85,Specialization,data science data analysis machine learning spark sql sql databricks,Data Science,10,85.0
CS,75,85,Specialization,data clustering algorithms text mining data visualization dataviz data mining data visualization software tableau software data virtualization information retrieval ir document retrieval machine learning recommender systems probabilistic models,Data Science,28,81.0
MCA,75,65,Course,geographic information system gisdata analysisprojectmap analysisproject management,Data Science,7,69.0
CSIT,85,95,Course,python programmingdatabase dbmssqlitesql,Computer Science,3,91.0
CS,85,95,Course,graph theoryneojanalyticsgraph database,Data Science,3,91.0
MCA,65,50,Course,data sciencespreadsheetmicrosoft exceldata analysisdata visualization dataviz,Data Science,6,56.0
MCA,75,65,Course,cloud databasespython programmingjupyter notebooksrelational database management system rdbmssql,Data Science,8,69.0
ECE,75,95,Specialization,describe fundamental principles of machine learning on azure describe ai workloads and considerations describe features of conversational ai workloads on azure describe features of computer vision workloads on azure describe features of natural language processing nlp workloads on azure artificial intelligence ai microsoft azure machine learning computer vision natural language processing test preparation,Data Science,53,87.0
IT,85,75,Specialization,json xml python programming database dbms python syntax and semantics basic programming language computer programming data structure tuple web scraping sqlite sql,Computer Science,22,79.0
IT,85,75,Specialization,jquery web application development hypertext preprocessor php javascript mysql html cascading style sheets css phpmyadmin relational database sql create read update and delete,Computer Science,23,79.0
CS,75,75,Specialization,programming principles python programming java programming data structure computer programming python tools python syntax and semantics data science python libraries data analysis data visualization dataviz java tools,Computer Science,27,75.0
CS,85,85,Specialization,data science digital transformation artificial intelligence ai business strategy cloud computing deep learning jobs machine learning strategy swot analysis value proposition competitiveness,Data Science,22,85.0
